0,1,2,3,4,5,6,7
127,True,СРО-С-128-21122009,Ассоциация - региональное отраслевое объединение работодателей саморегулируемая организация «Астраханские строители»,"414000, г. Астрахань, ул. Ленина/Кирова/Бабушкина, д. 20/29/17, к. 9",Астраханская область,Южный ФО,195
128,True,СРО-С-129-21122009,Саморегулируемая организация «Союз строителей Пермского края»,"614007, г.Пермь, ул.Николая Островского 55/4",Пермский край,Приволжский ФО,196
129,True,СРО-С-130-21122009,Ассоциация работодателей «Саморегулируемая организация «Объединение строительных и монтажных организаций «Стройкорпорация»,"141201, Московская область, г. Пушкино, мкр. Междуречье, ул. Славянская, дом 2. КОМНАТЫ 79/1, 79/3, 84",Московская область,Центральный ФО,197
130,True,СРО-С-131-21122009,Ассоциация «Саморегулируемая организация «Объединенные производители строительных работ»,"196128, Санкт-Петербург, площадь Чернышевского, д. 5, лит. А, пом. 3-Н, оф. 22",Санкт-Петербург,Санкт-Петербург,198
131,True,СРО-С-132-21122009,Саморегулируемая организация Ассоциация инжиниринговых компаний,"672000, Забайкальский край, г. Чита, ул. Бутина, д. 28, оф. 805",Забайкальский край,Дальневосточный ФО,199
132,False,СРО-С-133-21122009,"Ассоциация ""Саморегулируемая организация ""Волгоградские строители""","400074, г. Волгоград, ул. Грушевская, д. 8 пом. 1027 (3 этаж)",Волгоградская область,Южный ФО,200
133,True,СРО-С-134-22122009,Ассоциация Саморегулируемая организация «Альянс строителей Приморья»,"690012, г. Владивосток, ул. Калинина, 42, офис 214",Приморский край,Дальневосточный ФО,201
134,True,СРО-С-135-22122009,Ассоциация саморегулируемая организация  «Объединение Рязанских строителей»,"390006, г. Рязань, ул. Затинная, д.9",Рязанская область,Центральный ФО,202
135,True,СРО-С-136-22122009,Ассоциация «Саморегулируемая организация «ВГАСУ Межрегиональное объединение организаций в системе строительства»,"394061, Воронеж, пр-т Труда 4а",Воронежская область,Центральный ФО,203
136,True,СРО-С-137-22122009,Ассоциация «Саморегулируемая организация «Объединение Строителей Подмосковья»,"140000, Московская область , г. Люберцы, ул. Котельническая, д. 10",Московская область,Центральный ФО,204
137,False,СРО-С-138-22122009,Саморегулируемая организация Ассоциация «Строительный комплекс Волгоградской области»,"400005, г. Волгоград, проспект им. В.И. Ленина, д. 86, офис 321",Волгоградская область,Южный ФО,205
138,True,СРО-С-139-23122009,Ассоциация Саморегулируемая организация «Содействие развитию стройкомплекса Дальнего Востока»,"680000, г. Хабаровск, ул. Лермонтова, д. 52",Хабаровский край,Дальневосточный ФО,206
139,False,СРО-С-140-23122009,Союз «Саморегулируемая организация «Первая Гильдия Строителей»,"191015, г. Санкт-Петербург, ул. Шпалерная, д. 51, литер А, помещение 2-Н, №437",Санкт-Петербург,Санкт-Петербург,207
140,True,СРО-С-141-23122009,Ассоциация строителей «Саморегулируемая организация «ДОРСТРОЙ»,"664009, Иркутская обл., г. Иркутск, ул. Красноярская, д. 31/1, оф. 705",Иркутская область,Сибирский ФО,208
141,True,СРО-С-142-23122009,Ассоциация «Саморегулируемая организация «Строители Чувашии»,"428034, Чувашская Республика, г. Чебоксары, ул. Петра Ермолаева,  дом 1Б, помещение 4,5",Чувашская Республика,Приволжский ФО,209
142,False,СРО-С-143-23122009,Ассоциация Саморегулируемая организация по поддержке малого и среднего бизнеса в области строительства «Стройрегион-Развитие»,"123100, Пресненская набережная, д. 12, эт. 45, пом./ком. 10/6",Москва,Москва,210
143,True,СРО-С-144-23122009,Ассоциация  «Лига строительных организаций»,"197110, г. Санкт-Петербург, ул. Большая Разночинная, д. 14, оф. 301",Санкт-Петербург,Санкт-Петербург,211
144,True,СРО-С-145-23122009,Саморегулируемая организация Союз «Межрегиональное объединение инженерно-строительных предприятий»,"107023, г. Москва, ул. Большая Семеновская, д. 40,стр. 18",Москва,Москва,212
145,False,СРО-С-146-24122009,Союз саморегулируемая организация «Региональная Строительная Ассоциация»,"620142, г. Екатеринбург, ул. 8 Марта, д. 45А, офис 300",Свердловская область,Уральский ФО,213
146,True,СРО-С-147-24122009,Ассоциация Саморегулируемая организация «Межрегиональное объединение строителей «Альянс»,"364906 г. Грозный, Старопромысловское шоссе, д.42.",Чеченская Республика,Северо-Кавказский ФО,214
147,True,СРО-С-148-24122009,Ассоциация «Саморегулируемая организация «Международный альянс строителей»,"109240 г. Москва, ул. Николоямская, д.13 стр.1, этаж 6",Москва,Москва,215
148,True,СРО-С-149-24122009,Саморегулируемая организация Союз Строителей Верхней Волги,"156016, г. Кострома, м/р-н Давыдовский-3, д. 20а",Костромская область,Центральный ФО,216
149,True,СРО-С-150-24122009,Саморегулируемая организация Ассоциация строителей «Стройконсолидация»,"107014, г. Москва, ул. Стромынка, д. 4, стр. 1",Москва,Москва,217
150,True,СРО-С-151-24122009,Ассоциация «Центр объединения строителей «СФЕРА-А»,"191187, г. Санкт-Петербург, ул. Шпалерная, д. 2/4, лит. А, пом. 8-Н, каб. 18",Санкт-Петербург,Санкт-Петербург,218
151,True,СРО-С-152-25122009,Ассоциация Саморегулируемая организация «Объединение строительного комплекса и ЖКХ «Большая Волга»,"440026, Пензенская область, г. Пенза, ул. Кирова, стр. 56, помещ. 13, 14, 15 (этаж 9)",Пензенская область,Приволжский ФО,219
152,True,СРО-С-153-25122009,Саморегулируемая организация «Союз профессиональных строителей»,"163000, г. Архангельск, пр. Чумбарова-Лучинского, д. 10, корп.1",Архангельская область,Северо-Западный ФО,220
153,True,СРО-С-154-25122009,Ассоциация Саморегулируемая организация «Региональное объединение строителей «СОЮЗ»,"680000, г.Хабаровск, Уссурийский бульвар, 15",Хабаровский край,Дальневосточный ФО,221
154,False,СРО-С-155-25122009,Саморегулируемая организация «Межрегиональное объединение строительных организаций «Ассоциация ОборонСтрой»,"109428, г. Москва, ул. 2-я Институтская, д. 6",Москва,Москва,222
155,True,СРО-С-156-25122009,Ассоциация «Саморегулируемая организация строителей Воронежской области - региональное отраслевое объединение работодателей «Партнеры»,"394049, г. Воронеж, ул. Багрицкого, 1.",Воронежская область,Центральный ФО,223
156,True,СРО-С-157-25122009,Саморегулируемая организация Союз «Строители Петербурга»,"190121, г. Санкт-Петербург, наб. канала Грибоедова, д. 130, литер А, пом. 1-Н",Санкт-Петербург,Санкт-Петербург,224
157,True,СРО-С-158-25122009,Саморегулируемая организация Ассоциация строителей «СТРОЙ-АЛЬЯНС»,"119435, г. Москва, ул. М. Пироговская, д. 14, стр. 1, этаж 5.",Москва,Москва,225
158,True,СРО-С-159-25122009,Ассоциация «Саморегулируемая организация «Республиканское объединение строителей Алании»,"362002, Северная Осетия - Алания Респ, г. Владикавказ, ул. Чкалова, д. 41, корп. А",Республика Северная Осетия — Алания,Северо-Кавказский ФО,226
159,True,СРО-С-160-25122009,Ассоциация Саморегулируемая организация «Строй Форум»,"603000, Нижегородская область, г. Нижний Новгород, ул. Костина, д. 3, пом.13",Нижегородская область,Приволжский ФО,227
160,True,СРО-С-161-25122009,Союз «Саморегулируемая организация «Организация профессиональных участников строительного рынка»,"628615, Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. Северная, д. 54А, стр. 1.",Ханты-Мансийский автономный округ - Югра,Уральский ФО,228
161,False,СРО-С-162-28122009,"Ассоциация ""Объединение строителей ""МОНОЛИТ""","127018, Москва, улица Ямская 2-я, д. 2, офис 202.",Москва,Москва,229
162,True,СРО-С-163-28122009,Саморегулируемая ассоциация «Красноярские строители»,"660075, г. Красноярск, ул. Северо-Енисейская, д.44Г, пом. 150",Красноярский край,Сибирский ФО,230
163,True,СРО-С-164-29122009,Ассоциация «Профессиональная строительная группа»,"101000, г. Москва, вн. тер. г. муниципальный округ Басманный, б-р Чистопрудный,  д. 11, стр. 1, помещ. 601/3",Москва,Москва,231
164,True,СРО-С-165-29122009,Ассоциация  «Приволжская гильдия строителей»,"603005, г. Нижний Новгород, ул. Пискунова, д. 29, офис 31",Нижегородская область,Приволжский ФО,232
165,True,СРО-С-166-30122009,Союз «Уральское объединение строителей»,"620109, Россия, Свердловская область, г.Екатеринбург, ул.Токарей, д.68, оф.201",Свердловская область,Уральский ФО,233
166,True,СРО-С-167-11012010,Союз «Саморегулируемая организация «Дорожники  и строители Алтая»,"656049, Алтайский край, г. Барнаул, ул. Пролетарская, д.146 а, оф. 103",Алтайский край,Сибирский ФО,234
167,True,СРО-С-168-11012010,Ассоциация Саморегулируемая организация «Гильдия Пермских Строителей»,"614000, г.Пермь, ул. Г.Хасана 7а, оф. 140",Пермский край,Приволжский ФО,235
168,True,СРО-С-169-11012010,Ассоциация Саморегулируемая организация «Строительный альянс Северо-Запада»,"192148, г. Санкт-Петербург, ул. Седова, д.49, литер А, пом. 3Н",Санкт-Петербург,Санкт-Петербург,236
169,True,СРО-С-170-13012010,Союз «Саморегулируемая организация «Межрегиональный альянс строителей»,"350000, Россия, Краснодарский край, г. Краснодар, ул. Пашковская, д. 99, пом. 1",Краснодарский край,Южный ФО,237
170,True,СРО-С-171-13012010,Саморегулируемая организация Союз «Строители Урала»,"614068, Пермский край, г. Пермь, ул. Петропавловская, д.123",Пермский край,Приволжский ФО,238
171,True,СРО-С-172-13012010,Ассоциация саморегулируемая организация «Объединение строителей объектов топливно-энергетического комплекса «Нефтегазстрой-Альянс»,"107045, г. Москва, Ананьевский переулок, д. 5, стр.3",Москва,Москва,239
172,True,СРО-С-173-14012010,Саморегулируемая организация - Ассоциация «Псковский строительный комплекс»,"180024, г. Псков, ул. Кузбасской Дивизии, д. 24а, пом. 1004",Псковская область,Северо-Западный ФО,240
173,True,СРО-С-174-14012010,Ассоциация Саморегулируемая организация «Гильдия строителей Республики Марий Эл»,"424038, Республика Марий Эл, г. Йошкар-Ола, ул. Петрова, д. 28",Республика Марий Эл,Приволжский ФО,241
174,True,СРО-С-175-14012010,Союз строителей Cаморегулируемая организация «Дальмонтажстрой»,"690001, Приморский край, г. Владивосток, ул. Пушкинская, д.35, оф.2",Приморский край,Дальневосточный ФО,242
175,True,СРО-С-176-18012010,Ассоциация «Саморегулируемая организация  «Объединение строителей Калужской области»,"248010, г. Калуга, ул. Пухова, д. 23А, офис 297",Калужская область,Центральный ФО,243
176,False,СРО-С-177-18012010,Некоммерческое партнерство «Единое Межрегиональное Строительное Объединение»,"115093, г. Москва, Подольское ш. д. 8, корпус 5, офис 303",Москва,Москва,244
177,False,СРО-С-178-19012010,Ассоциация Саморегулируемая организация «Межрегиональная организация Содружество профессиональных строителей»,"125009, г. Москва, Георгиевский переулок, д.1, стр.1",Москва,Москва,245
178,True,СРО-С-179-20012010,Саморегулируемая организация Ассоциация «Союз Профессиональных Строителей Южного Региона»,"350015, Россия, Краснодарский край, г. Краснодар, ул. Коммунаров, д. 258",Краснодарский край,Южный ФО,246
179,True,СРО-С-180-20012010,Ассоциация Саморегулируемая организация «Межрегиональное объединение строительных компаний»,"197198, г. Санкт-Петербург, вн. тер. г. МО Петровский округ, Большой проспект П.С.,д. 18, лит. А, пом. 17-Н, оф.51",Санкт-Петербург,Санкт-Петербург,247
180,False,СРО-С-181-22012010,Саморегулируемая организация Ассоциация Строителей «Объединение строительных компаний «РУССТРОЙ»,"127521, г. Москва, 17-й проезд Марьиной рощи, д. 4, корп. 1, помещение XVIII (ком. 9)",Москва,Москва,248
181,True,СРО-С-182-22012010,Ассоциация «Жилищно-строительное объединение Мурмана»,"183038, г. Мурманск, пр-кт Ленина, д. 43",Мурманская область,Северо-Западный ФО,249
182,True,СРО-С-183-22012010,Саморегулируемая организация «Союз Строительных Компаний «ТАШИР»,"109028, г. Москва, ш. Дмитровское, вл. 163а, стр. 1",Москва,Москва,250
183,True,СРО-С-184-25012010,Ассоциация строителей Саморегулируемая организация «БашстройТЭК»,"450052, Республика Башкортостан, г. Уфа, ул. Гоголя, д. 53, корпус 1",Республика Башкортостан,Приволжский ФО,251
184,True,СРО-С-185-26012010,Ассоциация «Саморегулируемая организация «Объединение подрядных организаций»,"105066, г. Москва, ул. Новая Басманная, д.28, стр.1, помещ.8",Москва,Москва,252
185,False,СРО-С-186-26012010,"Некоммерческое партнёрство ""Межрегиональное объединение субъектов строительной деятельности ""Межрегионстандарт""","185034, Республика Карелия, г. Петрозаводск, ул. Судостроительная, д. 30",Республика Карелия,Северо-Западный ФО,350
186,True,СРО-С-187-26012010,Ассоциация строителей «Саморегулируемая организация «Строительные Допуски»,"105187, Москва, Окружной проезд, дом 15, корпус 2, этаж 4, помещение II, комната 7",Москва,Москва,253
187,False,СРО-С-188-28012010,Союз Строителей Москвы «Сварог»,"115114, г. Москва, ул. Дербеневская, д.1, стр.5, подъезд 47, офис 2",Москва,Москва,254
188,False,СРО-С-189-01022010,Некоммерческое партнерство «Союз строителей «РЕГИОН»,"620026, г. Екатеринбург, ул. Белинского, д. 83, 14 этаж, оф. 1404",Свердловская область,Уральский ФО,255
189,True,СРО-С-190-04022010,Саморегулируемая организация Ассоциация «Союз строителей Западной Сибири»,"656031,  Алтайский Край, г. Барнаул, проспект Строителей, д. 33, пом. Н2",Алтайский край,Сибирский ФО,256
190,True,СРО-С-191-04022010,Ассоциация «Саморегулируемая организация строительных компаний «МЕЖРЕГИОНСТРОЙ»,"300041, г. Тула, ул. Свободы, д. 60, оф. 23",Тульская область,Центральный ФО,257
191,False,СРО-С-192-04022010,Некоммерческое партнерство «Саморегулируемая организация «Гильдия профессиональных строителей»,"119121, г. Москва, 2-й Вражский переулок, д. 7",Москва,Москва,258
192,False,СРО-С-193-08022010,Ассоциация «Саморегулируемая организация ремонтно-строительных компаний»,"115184, Российская Федерация, г. Москва, Средний Овчинниковский пер., д. 12",Москва,Москва,259
193,True,СРО-С-194-08022010,Саморегулируемая организация Союз «Строители Приволжья»,"603000, г. Нижний Новгород,  площадь М. Горького, д. 4/2, офис 32",Нижегородская область,Приволжский ФО,260
194,True,СРО-С-195-09022010,Ассоциация Саморегулируемая организация «Московское объединение строительных предприятий малого и среднего предпринимательства – ОПОРА»,"124482, г. Москва, Зеленоград, Савелкинский проезд, д. 4, офис 1408",Москва,Москва,261
195,False,СРО-С-196-10022010,Ассоциация строительных организаций саморегулируемая организация «Межрегиональное качество»,"125047, г.  Москва, Оружейный пер., дом 15А",Москва,Москва,262
196,True,СРО-С-197-10032010,Саморегулируемая организация Ассоциация «Строители Башкирии»,"450059, Республика Башкортостан, г. Уфа, ул. Рихарда Зорге, д. 15, корп. 1, этаж 6",Республика Башкортостан,Приволжский ФО,263
197,True,СРО-С-198-12022010,Союз Саморегулируемая организация «Уральское жилищно-коммунальное строительство»,"454020, г. Челябинск, ул. Курчатова, 23Б, 11 этаж",Челябинская область,Уральский ФО,264
198,True,СРО-С-199-12022010,Ассоциация Саморегулируемая организация «Брянское Объединение Строителей»,"241519, Россия, Брянская область, Брянский район,пос. Путевка, ул. Рославльская, 7.",Брянская область,Центральный ФО,265
199,True,СРО-С-200-16022010,Ассоциация строителей «Саморегулируемая организация Санкт-Петербурга «Строительство. Инженерные системы»,"197342, г. Санкт-Петербург, ул.Сердобольская, д. 65 лит.А",Санкт-Петербург,Санкт-Петербург,266
200,True,СРО-С-201-19022010,Ассоциация «Саморегулируемая организация «Региональное объединение профессиональных строителей»,"143006, Московская область, г. Одинцово, ул. Союзная, д. 1""В"", офис 209",Московская область,Центральный ФО,267
201,False,СРО-С-202-19022010,Ассоциация строительных организаций «Стройспецмонтажсервис»,"123298, г. Москва, ул. 3-я Хорошевская, д. 18, корп. 2, оф. 313",Москва,Москва,268
202,True,СРО-С-203-24022010,Ассоциация Саморегулируемая организация «Объединение строителей Карелии»,"185030, Республика Карелия, г. Петрозаводск, ул. Загородная(Голиковка Р-Н), д. 15 А",Республика Карелия,Северо-Западный ФО,269
203,True,СРО-С-204-24022010,Ассоциация Саморегулируемая организация  «Региональное объединение строителей «Развитие»,"394016, Воронежская область, Воронеж, ул. 45 Стрелковой Дивизии, д. 110, неж. пом. 2, офис 1/1",Воронежская область,Центральный ФО,270
204,False,СРО-С-205-02032010,Ассоциация строителей «СтройРегион»,"188309, Ленинградская область, г. Гатчина, ул. Генерала Кныша, д. 8а",Ленинградская область,Северо-Западный ФО,271
205,True,СРО-С-206-09032010,Ассоциация «Объединение строительных организаций Татарстана»,"420111, Республика Татарстан, г. Казань, ул. Лево-Булачная, дом 24/20",Республика Татарстан,Приволжский ФО,272
206,True,СРО-С-207-09032010,Союз содействия в развитии строительства саморегулируемая организация «Объединение профессиональных строителей»,"420049, Республика Татарстан, г. Казань. Ул. Калинина, д.48, офис 414",Республика Татарстан,Приволжский ФО,273
207,True,СРО-С-208-19032010,Ассоциация Саморегулируемая организация «Объединение строителей Приокского региона»,"300028, г. Тула, ул. 9 Мая, д.3, офис 405",Тульская область,Центральный ФО,274
208,False,СРО-С-209-23032010,"Ассоциация ""Объединение строительных организаций ""ПромСтройЦентр""","115114, г. Москва, Дербеневская набережная, дом 11, помещение Б7, 79",Москва,Москва,275
209,True,СРО-С-210-24032010,Союз строителей саморегулируемая организация «ПромЖилСтрой»,"660075, г. Красноярск, ул. Маерчака, д. 3, пом. 100",Красноярский край,Сибирский ФО,276
210,True,СРО-С-211-25032010,Ассоциация «Саморегулируемая организация «Строители регионов»,"650070, Кемеровская область, г. Кемерово, пр-кт Молодежный, д. 17",Кемеровская область,Сибирский ФО,277
211,True,СРО-С-212-29032010,Ассоциация «Строители Подмосковья «ФЛАГМАН»,"144004, Московская область , г.Электросталь, ул. Победы, д. 6, корп. 5",Московская область,Центральный ФО,278
212,True,СРО-С-213-30032010,Ассоциация Саморегулируемая организация региональное отраслевое объединение работодателей «Орловское региональное объединение строителей»,"302028, г. Орёл, ул. Салтыкова-Щедрина, д. 35Б",Орловская область,Центральный ФО,279
213,False,СРО-С-214-05042010,Некоммерческое партнерство содействия повышению качества выполнения строительных работ «ЕДИНЫЙ СТАНДАРТ»,"127055, РФ, г. Москва, ул. Образцова, дом 14/2",Москва,Москва,280
214,False,СРО-С-215-08042010,Саморегулируемая организация Ассоциация «Альянс предприятий строительного комплекса»,"344022, Ростовская область, г. Ростов-на-Дону, ул. Большая Садовая, д.150, ком.8",Ростовская область,Южный ФО,281
215,False,СРО-С-216-09042010,"СРО Союз ""Строители нефтяной отрасли Северо-Запада""","г. Санкт-Петербург, ул. Большая Монетная, д.16, корп.1 лит В, 4 этаж",Санкт-Петербург,Санкт-Петербург,282
216,True,СРО-С-217-19042010,Ассоциация «Саморегулируемая организация «Межрегиональный Альянс Строителей»,"142845, Московская область, Ступинский район, сельское поселение Семеновское, Прудно, улица Лопасненская, д. 18.",Московская область,Центральный ФО,283
217,False,СРО-С-218-20042010,"Некоммерческое партнёрство ""КубаньСтройОбъединение""","350059, г. Краснодар, ул. Тихорецкая, д. 5, стр. 1",Краснодарский край,Южный ФО,352
218,True,СРО-С-219-21042010,Саморегулируемая организация Ассоциация «Объединение Специализированных Организаций Профессиональные Строители»,"143409, Московская область, Красногорский район, г. Красногорск, ул. Братьев Горожанкиных, д. 18, пом. 7.",Московская область,Центральный ФО,284
219,False,СРО-С-220-28042010,"Некоммерческое партнёрство ""Объединение организаций, выполняющих строительство, реконструкцию и капитальный ремонт""РЕГИОНСТРОЙСЕРВИС""","115162, г. Москва, ул. Лестева, д. 18",Москва,Москва,351
220,True,СРО-С-221-30042010,Ассоциация Саморегулируемая  организация «Содружество Строителей»,"192019, Санкт-Петербург, ул. Седова, дом 11, литер А, офис 639",Санкт-Петербург,Санкт-Петербург,285
221,False,СРО-С-222-30042010,Саморегулируемая организация Ассоциация «Первое Поволжское Строительное Объединение»,"422701,  Республика Татарстан,  р-н Высокогорский,  с. Высокая Гора,  ул. Б. Красная,  д. 178Б",Республика Татарстан,Приволжский ФО,286
222,False,СРО-С-223-14052010,Саморегулируемая организация Ассоциация Региональное отраслевое объединение работодателей «Строительное региональное партнерство»,"236040, Калининградская область, г. Калининград, ул. Черняховского, д. 6, каб. 116",Калининградская область,Северо-Западный ФО,287
223,False,СРО-С-224-03062010,Ассоциация саморегулируемая организация «Профессиональный Строительный Союз»,"215500, Смоленская обл. , г. Сафоново, ул. Гагарина, д. 10",Смоленская область,Центральный ФО,288
224,True,СРО-С-225-03062010,Ассоциация «Саморегулируемая организация «Объединение строителей Ярославской области»,"150040, г. Ярославль, ул. Некрасова, д. 39Б, оф.2",Ярославская область,Центральный ФО,289
225,True,СРО-С-226-15062010,Ассоциация «Экологического Строительства»,"357500, Ставропольский край, г. Пятигорск, пр. Калинина, д. 17",Ставропольский край,Северо-Кавказский ФО,290
226,True,СРО-С-227-01072010,Саморегулируемая организация Ассоциация строительных организаций «Поддержки организаций строительной отрасли»,"107078, г. Москва, ул. Мясницкая, д. 48, БЦ «Мясницкая Плаза», этаж 5, помещение I, комната №1",Москва,Москва,291
227,False,СРО-С-228-20072010,Ассоциация «Саморегулируемая организация «Межрегиональная Строительная Группа»,"620014, Свердловская обл., г. Екатеринбург, Чернышевского ул., д. 16, офис 408",Свердловская область,Уральский ФО,292
228,True,СРО-С-229-29072010,Саморегулируемая организация Ассоциация строителей «Альянс строителей профессионалов»,"121087, г. Москва, Багратионовский проезд, дом 7, корпус 1, этаж 4, помещение 444-445",Москва,Москва,293
229,True,СРО-С-230-07092010,Ассоциация содействия реставрации и возрождению национального архитектурного наследия «Архитектурное наследие»,"107023, Москва, улица Большая Семёновская,  дом 49, помещение IV, комната 3,9",Москва,Москва,294
230,True,СРО-С-231-14122010,Ассоциация строительных компаний Саморегулируемая организация «Высотный Строительный Комплекс»,"196247, г. Санкт-Петербург, Муниципальный округ Новоизмайловское ВН.ТЕР.Г., Ленинский пр-кт, д. 160, лит. А, Ч.П. 27-Н",Санкт-Петербург,Санкт-Петербург,295
231,False,СРО-С-232-28012011,Ассоциация «Саморегулируемая организация «Инженер-строитель»,"196084, РФ, г. Санкт-Петербург, ул. Коли Томчака, д. 17-19, лит. А, оф. 201",Санкт-Петербург,Санкт-Петербург,296
232,False,СРО-С-233-02022011,Саморегулируемая организация Ассоциация «Региональное отраслевое объединение работодателей – Единый межотраслевой строительный центр»,"127238, г. Москва, Локомотивный проезд, д.21 стр.5 , этаж  6, пом.1, ком. 7",Москва,Москва,297
233,True,СРО-С-234-07022011,Ассоциация строителей «Строители железнодорожных комплексов»,"188309, Ленинградская обл, г. Гатчина, ул. Генерала Кныша, д. 8а",Ленинградская область,Северо-Западный ФО,298
234,False,СРО-С-235-09022011,"«АССОЦИАЦИЯ ЗАКАЗЧИКОВ-ЗАСТРОЙЩИКОВ И ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ СТРОИТЕЛЬНЫЙ КОНТРОЛЬ, ПОДРЯДНЫЕ И ГЕНПОДРЯДНЫЕ РАБОТЫ»","117418, Москва, ул. Новочеремушкинская, д. 50, корп. 3, оф. 101-102",Москва,Москва,299
235,False,СРО-С-236-22042011,Союз организаций строительной отрасли «Строительный ресурс»,"188760, Ленинградская область, г. Приозерск, ул. Калинина, д.11",Ленинградская область,Северо-Западный ФО,300
236,False,СРО-С-237-19052011,Ассоциация Саморегулируемая организация «Национальное сообщество строителей»,"125373, г. Москва, Походный проезд, д. 4, стр. 2, оф. 8",Москва,Москва,301
237,False,СРО-С-238-16062011,Ассоциация «Объединение строителей Топливно-Энергетического Комплекса»,"614068, Пермский край, г. Пермь, ул. Плеханова, д. 39",Пермский край,Приволжский ФО,302
238,False,СРО-С-239-28092011,Ассоциация саморегулируемая организация «Профессиональный альянс строителей Ульяновской области»,"432000, Ульяновская область, г. Ульяновск, ул. Радищева, д. 30",Ульяновская область,Приволжский ФО,303
239,True,СРО-С-240-17112011,Ассоциация Саморегулируемая организация «Объединение строителей «ЭНЕРГОТЕХМОНТАЖ-СТРОЙ»,"119270, г. Москва, Фрунзенская набережная, д. 48, помещение IX",Москва,Москва,304
240,False,СРО-С-241-13012012,Саморегулируемая организация Ассоциация строительных организаций «ОПОРА-Строй»,"197046, г. Санкт-Петербург, ул. Чапаева, д. 5, литер А, офис 208",Санкт-Петербург,Санкт-Петербург,305
241,False,СРО-С-242-13022012,"Ассоциация строителей ""Строительные ресурсы""","141707. Московская область, г. Долгопрудный, Лихачевский проезд, д. 4, стр. 1.",Московская область,Центральный ФО,306
242,False,СРО-С-243-09042012,Ассоциация строителей Cаморегулируемая организация «Региональное Объединение Строительных Организаций»,"119049, г. Москва, Крымский вал, д. 3, стр. 2, помещение II,ком. 1",Москва,Москва,307
243,False,СРО-С-244-13042012,Саморегулируемая организация Ассоциация «Объединение организаций строительного комплекса»,"123001, г. Москва, улица Спиридоновка, дом 16, строение 1.",Москва,Москва,308
244,False,СРО-С-245-16042012,Ассоциация строителей «Лучшие технологии строительства»,"236000, Калининградская область, г. Калининград, Проспект Мира, д. 49/51, литер XVII ИЗ лит. IX, A",Калининградская область,Северо-Западный ФО,309
245,True,СРО-С-246-13062012,Ассоциация содействия строительным организациям «Национальный альянс строителей»,"141707, Московская область, г. Долгопрудный, Лихачевский проезд, д. 4, стр. 1",Московская область,Центральный ФО,310
246,False,СРО-С-247-20062012,Ассоциация «Саморегулируемая организация «Международное строительное объединение»,"308027, г. Белгород, ул. Апанасенко, д. 97, пом.1",Белгородская область,Центральный ФО,311
247,False,СРО-С-248-25062012,"Саморегулируемая организация Некоммерческое партнёрство ""Добровольное строительное товарищество ""Центр специального строительства и ремонта""","119019, Москва, ул. Иерусалимская, д. 3, оф. 1",Москва,Москва,312
248,False,СРО-С-249-12072012,"Ассоциация Саморегулируемая организация ""Генеральный альянс строительных организаций""","115280, г. Москва, ул. Ленинская Слобода, д. 26, пом. XIX, комн. 18",Москва,Москва,313
249,False,СРО-С-250-26072012,"Ассоциация строителей ""Региональный строительный альянс""","115035, г. Москва, Софийская набережная, д. 30, стр. 3",Москва,Москва,314
250,False,СРО-С-251-03082012,"Некоммерческое партнёрство строителей ""ГлавСтрой""","191119, г. Санкт-Петербург, ул. Воронежская д.5, лит. А, оф.141",Санкт-Петербург,Санкт-Петербург,315
251,False,СРО-С-252-03092012,"Ассоциация  ""Межрегиональное объединение строительных организаций ""Солидарность""","125212, г. Москва, Кронштадтский бульвар, дом 7А, стр. 1",Москва,Москва,316
252,True,СРО-С-253-05092012,Саморегулируемая организация Ассоциация строителей «Межрегионстройальянс»,"142000, Московская обл., г.Домодедово, микрорайон Северный, ул.Лесная, д.8",Московская область,Центральный ФО,317
253,False,СРО-С-254-03102012,"Саморегулируемая организация Союз Строителей ""Межрегиональная Ассоциация по Строительству, Ремонту и Техническому Надзору""","119049, г. Москва, ул. Донская, д. 4, стр. 3, оф. 402.",Москва,Москва,318
254,False,СРО-С-255-19102012,Ассоциация «Саморегулируемая организация Некоммерческое партнерство Объединение Строителей «ОсноваСтрой»,"199004, г. Санкт-Петербург, 6-я линия В.О., д. 23, лит. А, ком. 312",Санкт-Петербург,Санкт-Петербург,319
255,False,СРО-С-256-19102012,Ассоциация «СтройИндустрия»,"188309, Ленинградская обл., г. Гатчина, ул. Генерала Кныша, д. 8А, пом. 17",Ленинградская область,Северо-Западный ФО,320
256,False,СРО-С-257-12122012,Ассоциация строителей «Импульс»,"192012, г. Санкт-Петербург, пер. 3-й Рабфаковский, д. 5, корп. 4, литера А, оф. 4.1",Санкт-Петербург,Санкт-Петербург,321
257,True,СРО-С-258-11012013,Ассоциация «Субъектов Строительной Сферы «Гарантия Оптимальных Строительных Технологий»,"191023, Санкт-Петербург, улица Садовая, дом 26, литера «А», пом. № 31, № 35 (часть пом.), № 36.",Санкт-Петербург,Санкт-Петербург,322
258,False,СРО-С-259-15012013,САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО «Региональное объединение строителей «РОСТ»,"109316, г. Москва, ул. Талалихина, дом 8, оф. 9",Москва,Москва,323
