0,1,2,3,4,5,6,7
28,True,СРО-С-029-18082009,Ассоциация «Саморегулируемая организация «Самарская гильдия строителей»,"443010, г. Самара, ул. Чапаевская, д. 174",Самарская область,Приволжский ФО,96
29,True,СРО-С-030-24082009,Союз Строительных компаний Урала и Сибири,"454092, Челябинск, ул. Елькина, д. 84, 3 этаж",Челябинская область,Уральский ФО,97
30,True,СРО-С-031-25082009,Саморегулируемая организация Ассоциация «Объединение строителей Южного и Северо-Кавказского округов»,"344010, г. Ростов-на-Дону, ул. Красноармейская, д. 145, офис 301",Ростовская область,Южный ФО,98
31,True,СРО-С-032-31082009,Саморегулируемая организация Ассоциация «Томские строители»,"634029, г. Томск, проспект Фрунзе, 18, а/я 3312",Томская область,Сибирский ФО,99
32,True,СРО-С-033-03092009,Ассоциация «Саморегулируемое региональное отраслевое объединение работодателей «Объединение нижегородских строителей»,"603006,  Нижегородская область, г. Нижний Новгород,  ул. Володарского, д. 40, пом. П10",Нижегородская область,Приволжский ФО,100
33,False,СРО-С-034-04092009,Ассоциация «Саморегулируемая организация «Межрегиональный Альянс Строительных Предприятий»,"400074, г. Волгоград, ул. Грушевская, 12",Волгоградская область,Южный ФО,101
34,True,СРО-С-035-09092009,Союз «Строители Московской области «Мособлстройкомплекс»,"141700, Московская область , г. Долгопрудный, просп. Пацаева, д. 7, корп. 10",Московская область,Центральный ФО,102
35,True,СРО-С-036-11092009,Ассоциация  «СТОЛИЧНОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ» САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ,"119991, г. Москва, ул. Льва Толстого, д. 5/1, стр. 1; Почтовый адрес: 119021, г.Москва, АССОЦИАЦИЯ «ССО» СРО, а/я №10.",Москва,Москва,103
36,False,СРО-С-037-11092009,Ассоциация Саморегулируемая организация в области строительства «Центрстройэкспертиза-статус»,"105082, г. Москва, Спартаковская площадь, д. 14, стр. 3, эт/ком/оф 2/9/6.",Москва,Москва,104
37,True,СРО-С-038-15092009,"Ассоциация по защите прав и законных интересов лиц, осуществляющих строительство, саморегулируемая организация «ЦЕНТРРЕГИОН»","109004, г. Москва, Земляной Вал, д. 64, стр. 2",Москва,Москва,105
38,True,СРО-С-039-18092009,Саморегулируемая организация Ассоциация строительных компаний «Межрегиональный строительный комплекс»,"105082, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ БАСМАННЫЙ, УЛ БАКУНИНСКАЯ, Д. 96-98, СТР. 1, ЭТАЖ 2, ПОМЕЩ. I",Москва,Москва,106
39,True,СРО-С-040-23092009,Ассоциация Некоммерческое партнерство «Саморегулируемая организация «Строительный союз Калининградской области»,"236022, Калининградская область, г. Калининград, ул. Космонавта Пацаева, д. 6 А, офис 1",Калининградская область,Северо-Западный ФО,107
40,False,СРО-С-041-24092009,Саморегулируемая организация Ассоциация строителей нефтегазовых объектов «Нефтегазстрой»,"119571, г. Москва, ул. Академика Анохина, д. 11",Москва,Москва,108
41,True,СРО-С-042-25092009,"Ассоциация содействия развитию строительного комплекса и свободного предпринимательства в сфере строительства «Столица», саморегулируемая организация строителей","123056, г. Москва, Электрический пер., д. 8, стр. 5",Москва,Москва,109
42,False,СРО-С-043-28092009,Ассоциация саморегулируемая организация «Объединение железнодорожных строителей»,"191040, г. Санкт-Петербург, ул. Марата, д. 42",Санкт-Петербург,Санкт-Петербург,110
43,True,СРО-С-044-29092009,Ассоциация Региональное отраслевое объединение работодателей «Саморегулируемая организация Строителей Сибирского региона»,"630102, г. Новосибирск, ул. 9-ого Ноября, д. 14,  Почтовый адрес: 630102, г. Новосибирск, а/я 2",Новосибирская область,Сибирский ФО,111
44,True,СРО-С-045-05102009,Саморегулируемая организация Ассоциация «Капитальный ремонт и строительство»,"107014, г. Москва, ул. Бабаевская, д. 6",Москва,Москва,112
45,True,СРО-С-046-06102009,Ассоциация саморегулируемая организация «Строители Свердловской области»,"620062, г. Екатеринбург, пр. Ленина, 97А, оф. 400",Свердловская область,Уральский ФО,113
46,False,СРО-С-047-07102009,Саморегулируемая организация Союз «Строительное региональное объединение»,"350088, Российская Федерация г. Краснодар, ул. Сормовская, 204/6",Краснодарский край,Южный ФО,114
47,True,СРО-С-048-12102009,Союз строителей «Газораспределительная система. Строительство»,"192019, ГОРОД САНКТ-ПЕТЕРБУРГ, УЛИЦА СЕДОВА, ДОМ 11, ЛИТЕР А, ПОМЕЩЕНИЕ 412",Санкт-Петербург,Санкт-Петербург,115
48,False,СРО-С-049-14102009,"Ассоциация ""Саморегулируемая организация ""Первая гильдия строителей""","644043, г. Омск, ул. Фрунзе, д. 1, корп. 4",Омская область,Сибирский ФО,116
49,True,СРО-С-050-20102009,Саморегулируемая организация «Союз строителей Югры»,"628011, г. Ханты-Мансийск, ул. Светлая, д. 67",Ханты-Мансийский автономный округ - Югра,Уральский ФО,117
50,True,СРО-С-051-21102009,Ассоциация строительных организаций Кемеровской области саморегулируемая организация «ГЛАВКУЗБАССТРОЙ»,"650000, Кемеровская обл., г. Кемерово, ул. Притомская Набережная, д. 19а, пом. 1",Кемеровская область,Сибирский ФО,118
51,True,СРО-С-052-22102009,"Ассоциация Саморегулируемая организация в области строительства, реконструкции, капитального ремонта объектов капитального строительства  «ЖИЛИЩНЫЙ КОМПЛЕКС»","660017, Красноярский край, г. Красноярск, ул. Диктатуры Пролетариата, д. 32, пом. 32",Красноярский край,Сибирский ФО,119
52,True,СРО-С-053-23102009,Саморегулируемая организация Ассоциация «Строители Хакасии»,"655017, респ. Хакасия, г. Абакан, ул. Кирова, д. 112, корп.2, пом.63Н, 2 этаж",Республика Хакасия,Сибирский ФО,120
53,True,СРО-С-054-26102009,Ассоциация строительных организаций «Саморегулируемая организация «Инжспецстрой»,"197374, Санкт-Петербург, Муниципальный округ № 65 вн.тер.г., пр-кт Приморский, д. 78, к. 2, стр. 1, помещ. 104-Н",Санкт-Петербург,Санкт-Петербург,121
54,False,СРО-С-055-26102009,Союз саморегулируемая организация «Объединение инженеров строителей»,"107023, г. Москва, пл. Журавлева, д. 2, стр. 2, этаж 5, пом. 1",Москва,Москва,122
55,True,СРО-С-056-28102009,Саморегулируемая организация СОЮЗ «Содружество строителей»,"443110, г. Самара, ул. Лесная, д. 23",Самарская область,Приволжский ФО,123
